Pressure (MPa),Temperature (°C),Specific Volume (m³/kg),Enthalpy (kJ/kg),Entropy (kJ/kg·K),Internal Energy (kJ/kg),Viscosity (μPa·s),Thermal Conductivity (mW/m·K),Density (kg/m³),Prandtl Number (dimensionless)
0.01,56.75151515151515,15.183066829554008,2604.943936789661,8.213820386128477,2453.113268494121,10.755684571932147,20.763889949001804,0.06586284650038482,993.1956829614951
0.01,60.528282828282826,15.359567262371113,2612.1783361815783,8.235624817769061,2458.582663557867,10.888469224153072,21.051863710105476,0.06510600089950883,989.8710777000923
0.01,64.3050505050505,15.535884334487601,2619.4012766391356,8.25714967878561,2464.0424332942594,11.02220754196575,21.34210056678359,0.06436711155091009,987.0650296740222
0.01,68.08181818181818,15.712042637374342,2626.6157495204675,8.278410010883169,2469.495323146725,11.15686101846776,21.63459822944532,0.06364544846774367,984.6195837353546
0.01,71.85858585858585,15.88806098022558,2633.8238871828726,8.29941785419951,2474.943277380617,11.292393209311285,21.929352220402976,0.06294034251533959,982.4410967433809
0.01,75.63535353535353,16.06395446638334,2641.027308167611,8.320183373700834,2480.387763503777,11.428769573045507,22.226356159209995,0.06225117246769321,980.4711066468222
0.01,79.4121212121212,16.23973567126425,2648.2273071516074,8.340715481961164,2485.8299504389656,11.565957326217736,22.525602014990085,0.06157735693749447,978.6709025365798
0.01,83.18888888888888,16.41541533700022,2655.424962240405,8.361022195412074,2491.270808870403,11.703925312068362,22.82708032876484,0.06091834897079989,977.0132397618854
0.01,86.96565656565656,16.591002802095346,2662.6211976408686,8.381110847178057,2496.711169619915,11.842643881538683,23.130780408986492,0.060273632156442394,975.4778166889962
0.01,90.74242424242424,16.76650628218423,2669.8168218397977,8.400988221106953,2502.1517590179556,11.982084785343494,23.436690503358257,0.05964271764014313,974.0487525508482
0.01,94.51919191919191,16.94193306444776,2677.0125520485158,8.420660641312658,2507.5932214040386,12.12222107595314,23.744797949770348,0.059025141711749295,972.7131425847367
